Date      ,Symbol,ListingMarket,OpeningCross,ClosingCross,IntradayCross,
01/02/2015,ATEC  ,             ,         600,        5674,            0,
01/02/2015,ATHN  ,             ,        1422,        9883,            0,
01/02/2015,ATHX  ,             ,       12500,       23627,            0,
01/02/2015,ATLC  ,             ,         600,         100,            0,
01/02/2015,ATLO  ,             ,         370,         400,            0,
01/02/2015,ATML  ,             ,       11410,       81806,            0,
01/02/2015,ATNI  ,             ,         266,        1754,            0,
01/02/2015,ATOS  ,             ,       20450,        3600,            0,
01/02/2015,ATRA  ,             ,         280,        7093,            0,
01/02/2015,ATRC  ,             ,         659,        8427,            0,
01/02/2015,ATRI  ,             ,          24,         230,            0,
01/02/2015,ATRO  ,             ,        2585,        6989,            0,
01/02/2015,ATRS  ,             ,       10973,        8098,            0,
01/02/2015,ATSG  ,             ,        1143,        9227,            0,
01/02/2015,ATTO  ,             ,           0,         100,            0,
01/02/2015,ATTU  ,             ,        3200,         959,            0,
01/02/2015,ATVI  ,             ,       51175,      113601,            0,
01/02/2015,AUDC  ,             ,         600,         586,            0,
01/02/2015,AUPH  ,             ,        2736,           0,            0,
01/02/2015,AUXL  ,             ,        2075,       23435,            0,
01/02/2015,AVAV  ,             ,        2168,        6353,            0,
01/02/2015,AVEO  ,             ,       12216,       18800,            0,
01/02/2015,AVGO  ,             ,       20292,      104628,            0,
01/02/2015,AVHI  ,             ,         441,        3226,            0,
01/02/2015,AVID  ,             ,         210,         792,            0,
01/02/2015,AVNR  ,             ,      124714,       89483,            0,
01/02/2015,AVNW  ,             ,        1064,         200,            0,
01/02/2015,AWAY  ,             ,        5319,       97950,            0,
01/02/2015,AWP   ,             ,           2,           0,            0,
01/02/2015,AWRE  ,             ,        1825,         297,            0,
01/02/2015,AXAS  ,             ,       17759,       27921,            0,
01/02/2015,AXDX  ,             ,         453,        2481,            0,
01/02/2015,AXGN  ,             ,           0,        3100,            0,
01/02/2015,AXTI  ,             ,         809,         400,            0,
01/02/2015,AXU   ,             ,         600,           0,            0,
01/02/2015,AZO   ,             ,           2,           0,            0,
01/02/2015,AZPN  ,             ,        2756,       25066,            0,
01/02/2015,BABA  ,             ,           0,        1000,            0,
01/02/2015,BABY  ,             ,        2550,        8172,            0,
01/02/2015,BAMM  ,             ,        1000,          66,            0,
01/02/2015,BANF  ,             ,         378,        1457,            0,
01/02/2015,BANR  ,             ,         522,        3027,            0,
01/02/2015,BANX  ,             ,        6077,         100,            0,
01/02/2015,BAX   ,             ,          10,           0,            0,
01/02/2015,BBBY  ,             ,       47487,       64973,            0,
01/02/2015,BBC   ,             ,         100,           0,            0,
01/02/2015,BBCN  ,             ,        3865,       21238,            0,
01/02/2015,BBEP  ,             ,       59069,       59422,            0,
01/02/2015,BBEPP ,             ,          90,           0,            0,
01/02/2015,BBGI  ,             ,         100,         200,            0,
01/02/2015,BBLU  ,             ,        4440,       10200,            0,
01/02/2015,BBNK  ,             ,         488,        1999,            0,
01/02/2015,BBOX  ,             ,         542,        3567,            0,
01/02/2015,BBP   ,             ,           1,           0,            0,
01/02/2015,BBRG  ,             ,         688,        1850,            0,
01/02/2015,BBRY  ,             ,       87774,       26077,            0,
01/02/2015,BBSI  ,             ,        5262,         884,            0,
01/02/2015,BCA   ,             ,         100,           0,            0,
01/02/2015,BCBP  ,             ,           2,           0,            0,
01/02/2015,BCH   ,             ,           0,          15,            0,
01/02/2015,BCLI  ,             ,      182336,       41487,            0,
01/02/2015,BCOM  ,             ,         350,           0,            0,
01/02/2015,BCOR  ,             ,        3551,       15580,            0,
01/02/2015,BCOV  ,             ,        1358,       12273,            0,
01/02/2015,BCPC  ,             ,         682,        8018,            0,
01/02/2015,BCRX  ,             ,        5587,       38799,            0,
01/02/2015,BCS   ,             ,           2,           0,            0,
01/02/2015,BDBD  ,             ,        4040,       21526,            0,
01/02/2015,BDE   ,             ,        5479,        5734,            0,
01/02/2015,BDGE  ,             ,         245,        1401,            0,
01/02/2015,BDSI  ,             ,        3535,       21639,            0,
01/02/2015,BEAT  ,             ,         530,        9752,            0,
01/02/2015,BEAV  ,             ,        7975,       32072,            0,
01/02/2015,BEBE  ,             ,         597,       11353,            0,
01/02/2015,BECN  ,             ,        3372,       14226,            0,
01/02/2015,BELFB ,             ,         299,        1878,            0,
01/02/2015,BF.B  ,             ,           2,           0,            0,
01/02/2015,BFIN  ,             ,         743,        2421,            0,
01/02/2015,BFS   ,             ,         100,           0,            0,
01/02/2015,BGCP  ,             ,       32984,       46291,            0,
01/02/2015,BGFV  ,             ,        1136,        7699,            0,
01/02/2015,BGMD  ,             ,        3800,       15400,            0,
01/02/2015,BHBK  ,             ,        1662,        3300,            0,
01/02/2015,BHI   ,             ,         200,           0,            0,
01/02/2015,BIB   ,             ,        3982,         180,            0,
01/02/2015,BICK  ,             ,           3,           0,            0,
01/02/2015,BIDU  ,             ,       27402,       49278,            0,
01/02/2015,BIIB  ,             ,       13156,       91623,            0,
01/02/2015,BIND  ,             ,        1001,        5232,            0,
01/02/2015,BIOC  ,             ,           0,         200,            0,
01/02/2015,BIOD  ,             ,        1800,         200,            0,
01/02/2015,BIOL  ,             ,         280,         200,            0,
01/02/2015,BIOS  ,             ,        4822,       35184,            0,
01/02/2015,BIP   ,             ,           2,           0,            0,
01/02/2015,BIRT  ,             ,        1266,        4099,            0,
01/02/2015,BIS   ,             ,         150,         633,            0,
01/02/2015,BITA  ,             ,         100,           0,            0,
01/02/2015,BJRI  ,             ,        1786,        4720,            0,
01/02/2015,BKCC  ,             ,       16010,       34164,            0,
01/02/2015,BKEP  ,             ,         443,         414,            0,
01/02/2015,BKMU  ,             ,        1633,       20481,            0,
01/02/2015,BKSC  ,             ,          20,           0,            0,
01/02/2015,BKYF  ,             ,          79,        2039,            0,
01/02/2015,BLCM  ,             ,        6145,        1906,            0,
01/02/2015,BLDP  ,             ,       23180,        1472,            0,
01/02/2015,BLDR  ,             ,         871,       14450,            0,
01/02/2015,BLFS  ,             ,           0,        3000,            0,
01/02/2015,BLIN  ,             ,         100,           0,            0,
01/02/2015,BLKB  ,             ,        1085,       10719,            0,
01/02/2015,BLMN  ,             ,        7438,       33446,            0,
01/02/2015,BLRX  ,             ,        7700,        4800,            0,
01/02/2015,BLUE  ,             ,        7692,       16501,            0,
01/02/2015,BMO   ,             ,         200,           0,            0,
01/02/2015,BMRC  ,             ,         350,        1681,            0,
01/02/2015,BMRN  ,             ,        3529,       41160,            0,
01/02/2015,BMTC  ,             ,         364,        2878,            0,
01/02/2015,BNCL  ,             ,         962,        3702,            0,
01/02/2015,BNCN  ,             ,         409,        3625,            0,
01/02/2015,BNDX  ,             ,       14830,        1784,            0,
01/02/2015,BNFT  ,             ,         459,        5035,            0,
01/02/2015,BNS   ,             ,         300,           0,            0,
01/02/2015,BNSO  ,             ,         300,           0,            0,
01/02/2015,BOBE  ,             ,        6876,       15204,            0,
01/02/2015,BOCH  ,             ,         179,           0,            0,
01/02/2015,BOFI  ,             ,        2050,        9006,            0,
01/02/2015,BOH   ,             ,           2,           0,            0,
01/02/2015,BOKF  ,             ,        1715,       19976,            0,
01/02/2015,BONA  ,             ,         800,       13900,            0,
01/02/2015,BONT  ,             ,         426,        4717,            0,
01/02/2015,BOOM  ,             ,         311,        2283,            0,
01/02/2015,BOSC  ,             ,          10,           0,            0,
01/02/2015,BOTA  ,             ,        3821,        6500,            0,
01/02/2015,BOTJ  ,             ,        1325,           0,            0,
01/02/2015,BPFH  ,             ,        2028,       23161,            0,
01/02/2015,BPOP  ,             ,        1712,       14337,            0,
01/02/2015,BPT   ,             ,           2,           0,            0,
01/02/2015,BPTH  ,             ,        1132,        6166,            0,
01/02/2015,BRCD  ,             ,       15959,       91900,            0,
01/02/2015,BRCM  ,             ,       46269,      172009,            0,
01/02/2015,BRDR  ,             ,          75,        4025,            0,
01/02/2015,BREW  ,             ,         465,        2404,            0,
01/02/2015,BRKL  ,             ,        2311,       11922,            0,
01/02/2015,BRKR  ,             ,        1474,       71084,            0,
01/02/2015,BRKS  ,             ,        3857,       21665,            0,
01/02/2015,BRLI  ,             ,        6243,       19594,            0,
01/02/2015,BSDM  ,             ,       27532,           0,            0,
01/02/2015,BSET  ,             ,         695,        2374,            0,
01/02/2015,BSF   ,             ,         800,          20,            0,
